,Capacity
802.1,210
802.2,210
802.3,210
806.1,210
806.2,210
806.3,210
808.1,210
808.2,210
808.3,210
810.2,210
812.1,210
812.2,210
812.3,210
814.1,210
814.2,210
814.3,210
850.1,210
850.2,210
850.3,210
816.1,210
816.2,210
816.3,210
818.1,210
818.2,210
818.3,210
824.1,210
824.2,210
824.3,210
820.1,210
820.2,210
820.3,210
822.1,210
822.2,210
822.3,210
826.2,210
828.1,210
828.2,210
828.3,210
830.1,210
830.2,210
830.3,210
854.1,210
854.2,210
854.3,210
832.1,210
832.2,210
832.3,210
858.1,210
858.2,210
858.3,210
888.1,210
888.2,210
888.3,210
834.1,210
834.2,210
834.3,210
860.1,210
860.2,210
860.3,210
842.1,210
842.2,210
842.3,210
836.1,210
836.2,210
836.3,210
840.1,210
840.2,210
840.3,210
862.1,210
862.2,210
862.3,210
844.1,210
844.2,210
844.3,210
846.1,210
846.2,210
846.3,210
848.1,210
848.2,210
848.3,210
852.1,210
852.2,210
852.3,210
856.2,210
864.1,210
838.2,210
890.1,210
890.2,210
890.3,210
