,InitSOC
802.1,50
802.2,50
802.3,50
806.1,50
806.2,50
806.3,50
808.1,50
808.2,50
808.3,50
810.2,50
812.1,50
812.2,50
812.3,50
814.1,50
814.2,50
814.3,50
850.1,50
850.2,50
850.3,50
816.1,50
816.2,50
816.3,50
818.1,50
818.2,50
818.3,50
824.1,50
824.2,50
824.3,50
820.1,50
820.2,50
820.3,50
822.1,50
822.2,50
822.3,50
826.2,50
828.1,50
828.2,50
828.3,50
830.1,50
830.2,50
830.3,50
854.1,50
854.2,50
854.3,50
832.1,50
832.2,50
832.3,50
858.1,50
858.2,50
858.3,50
888.1,50
888.2,50
888.3,50
834.1,50
834.2,50
834.3,50
860.1,50
860.2,50
860.3,50
842.1,50
842.2,50
842.3,50
836.1,50
836.2,50
836.3,50
840.1,50
840.2,50
840.3,50
862.1,50
862.2,50
862.3,50
844.1,50
844.2,50
844.3,50
846.1,50
846.2,50
846.3,50
848.1,50
848.2,50
848.3,50
852.1,50
852.2,50
852.3,50
856.2,50
864.1,50
838.2,50
890.1,50
890.2,50
890.3,50
