,MinSOC
802.1,20
802.2,20
802.3,20
806.1,20
806.2,20
806.3,20
808.1,20
808.2,20
808.3,20
810.2,20
812.1,20
812.2,20
812.3,20
814.1,20
814.2,20
814.3,20
850.1,20
850.2,20
850.3,20
816.1,20
816.2,20
816.3,20
818.1,20
818.2,20
818.3,20
824.1,20
824.2,20
824.3,20
820.1,20
820.2,20
820.3,20
822.1,20
822.2,20
822.3,20
826.2,20
828.1,20
828.2,20
828.3,20
830.1,20
830.2,20
830.3,20
854.1,20
854.2,20
854.3,20
832.1,20
832.2,20
832.3,20
858.1,20
858.2,20
858.3,20
888.1,20
888.2,20
888.3,20
834.1,20
834.2,20
834.3,20
860.1,20
860.2,20
860.3,20
842.1,20
842.2,20
842.3,20
836.1,20
836.2,20
836.3,20
840.1,20
840.2,20
840.3,20
862.1,20
862.2,20
862.3,20
844.1,20
844.2,20
844.3,20
846.1,20
846.2,20
846.3,20
848.1,20
848.2,20
848.3,20
852.1,20
852.2,20
852.3,20
856.2,20
864.1,20
838.2,20
890.1,20
890.2,20
890.3,20
