,LifetimeDiscount
802.1,0.005
802.2,0.005
802.3,0.005
806.1,0.005
806.2,0.005
806.3,0.005
808.1,0.005
808.2,0.005
808.3,0.005
810.2,0.005
812.1,0.005
812.2,0.005
812.3,0.005
814.1,0.005
814.2,0.005
814.3,0.005
850.1,0.005
850.2,0.005
850.3,0.005
816.1,0.005
816.2,0.005
816.3,0.005
818.1,0.005
818.2,0.005
818.3,0.005
824.1,0.005
824.2,0.005
824.3,0.005
820.1,0.005
820.2,0.005
820.3,0.005
822.1,0.005
822.2,0.005
822.3,0.005
826.2,0.005
828.1,0.005
828.2,0.005
828.3,0.005
830.1,0.005
830.2,0.005
830.3,0.005
854.1,0.005
854.2,0.005
854.3,0.005
832.1,0.005
832.2,0.005
832.3,0.005
858.1,0.005
858.2,0.005
858.3,0.005
888.1,0.005
888.2,0.005
888.3,0.005
834.1,0.005
834.2,0.005
834.3,0.005
860.1,0.005
860.2,0.005
860.3,0.005
842.1,0.005
842.2,0.005
842.3,0.005
836.1,0.005
836.2,0.005
836.3,0.005
840.1,0.005
840.2,0.005
840.3,0.005
862.1,0.005
862.2,0.005
862.3,0.005
844.1,0.005
844.2,0.005
844.3,0.005
846.1,0.005
846.2,0.005
846.3,0.005
848.1,0.005
848.2,0.005
848.3,0.005
852.1,0.005
852.2,0.005
852.3,0.005
856.2,0.005
864.1,0.005
838.2,0.005
890.1,0.005
890.2,0.005
890.3,0.005
