,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SOURCEBUS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOURCEBUS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOURCEBUS.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.1,687.7530475305165,687.7613544324444,687.7616400980118,687.7616495545401,687.7616498769514,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126,687.7616498672126
800.2,622.2729720127948,622.2797897586737,622.2800034647545,622.2800103429478,622.2800105523372,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108,622.2800105645108
800.3,728.541920856753,728.5506788239112,728.5509870112254,728.5509974990457,728.550997848858,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969,728.5509978585969
802.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
